"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @EdVicAcademy: Yesterday our pupils in Nursery went on a trip to Italy in their aeroplane as part of our engagement back into learning w…",FALSE,0,NA,2021-03-10 08:26:31,FALSE,NA,"1369565317958139906",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Lesley72560470",5,TRUE,FALSE,NA,NA
"2","RT @wantedinrome: This video was made #otd last year on the way home from a quick trip to our office to pick up all that was needed for the…",FALSE,0,NA,2021-03-10 08:23:29,FALSE,NA,"1369564553948893187",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","gcarloantonini",8,TRUE,FALSE,NA,NA
"3","i deserve a summer trip to italy",FALSE,1,NA,2021-03-10 07:58:24,FALSE,NA,"1369558241135501314",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lunaaluvrr",0,FALSE,FALSE,NA,NA
"4","RT @BBCSport: Can Wales secure a fourth consecutive win? 🏴󠁧󠁢󠁷󠁬󠁳󠁿

👥 They recall Scarlets scrum-half Gareth Davies and Cardiff Blues lock Co…",FALSE,0,NA,2021-03-10 07:41:00,FALSE,NA,"1369553863372603393",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KwameAgyare16",11,TRUE,FALSE,NA,NA
"5","RT @wantedinrome: This video was made #otd last year on the way home from a quick trip to our office to pick up all that was needed for the…",FALSE,0,NA,2021-03-10 07:31:24,FALSE,NA,"1369551446430134272",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","valletti_anna",8,TRUE,FALSE,NA,NA
"6","@HRRevels1 @Ihatetosayit @milhaus64 @Blue_Waters4 @WendyLeighS @Bree_ThreeGen @HeidiHasz @HairMetalChick1… https://t.co/8fNEHnsoC4",FALSE,1,"HRRevels1",2021-03-10 07:23:41,TRUE,"1369528849944502273","1369549502747643906","1293647987181314050","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","SistasicilyN",0,FALSE,FALSE,NA,NA
"7","RT @wantedinrome: This video was made #otd last year on the way home from a quick trip to our office to pick up all that was needed for the…",FALSE,0,NA,2021-03-10 07:17:30,FALSE,NA,"1369547948065964033",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Jules38173984",8,TRUE,FALSE,NA,NA
"8","RT @TravelLeisure: Ah, Italy. The mere sound of the word is enough to make you daydream of la dolce vita. #sponsored by @martinirossius htt…",FALSE,0,NA,2021-03-10 07:11:05,FALSE,NA,"1369546335125377026",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","laurasgroves",11,TRUE,FALSE,NA,NA
"9","RT @bwdbradleywdick: #VirtualTrip #BestOfItaly by #InsightVacations Day06 #Venice sightseeing &amp; #Burano excursion 

https://t.co/gJxHxfWmMV…",FALSE,0,NA,2021-03-10 07:03:38,FALSE,NA,"1369544459017453568",NA,"<a href=""https://twitter.com/L_Moretti_Foto"" rel=""nofollow"">Lorezobot</a>","L_Moretti_Foto",1,TRUE,FALSE,NA,NA
"10","#VirtualTrip #BestOfItaly by #InsightVacations Day06 #Venice sightseeing &amp; #Burano excursion… https://t.co/iMLkR3dElB",FALSE,1,NA,2021-03-10 07:00:00,TRUE,NA,"1369543543899877376",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","bwdbradleywdick",1,FALSE,FALSE,NA,NA
"11","RT @ItalyTravel: The Rome and Amalfi Coast trip is popular southern Italy tour package click https://t.co/062xI5Rq0O #SouthernItaly #",FALSE,0,NA,2021-03-10 06:52:40,FALSE,NA,"1369541700474068992",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","viagginbici",1,TRUE,FALSE,NA,NA
"12","The world is WIDE. Plan a trip to Italy. Take a long drive. But remember,  happiness is a choice.",FALSE,0,NA,2021-03-10 06:43:23,FALSE,NA,"1369539364557094913",NA,"<a href=""https://cheapbotsdonequick.com"" rel=""nofollow"">Cheap Bots, Done Quick!</a>","NewLifeBot",0,FALSE,FALSE,NA,NA
"13","The Rome and Amalfi Coast trip is popular southern Italy tour package click https://t.co/062xI5Rq0O #SouthernItaly #",FALSE,1,NA,2021-03-10 06:37:09,FALSE,NA,"1369537793794379779",NA,"<a href=""https://twetler.com"" rel=""nofollow"">Twetler Manager</a>","ItalyTravel",1,FALSE,FALSE,NA,NA
"14","RT @TravelLeisure: Ah, Italy. The mere sound of the word is enough to make you daydream of la dolce vita. #sponsored by @martinirossius htt…",FALSE,0,NA,2021-03-10 06:32:36,FALSE,NA,"1369536648829153280",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","alvpe",11,TRUE,FALSE,NA,NA
"15","RT @TravelLeisure: Ah, Italy. The mere sound of the word is enough to make you daydream of la dolce vita. #sponsored by @martinirossius htt…",FALSE,0,NA,2021-03-10 06:22:17,FALSE,NA,"1369534052093415427",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","astokertravel",11,TRUE,FALSE,NA,NA
"16","@bl2life @lannietravels @carpediemeire @strayidler @beckyexploring @perthtravelers @TravelBugsWorld @LisaRivera2207… https://t.co/IwiEiDyf7k",FALSE,0,"bl2life",2021-03-10 06:07:30,TRUE,"1369261621508444162","1369530330990870529","1338382801264128000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TravelingNess",0,FALSE,FALSE,NA,NA
"17","RT @TravelLeisure: Ah, Italy. The mere sound of the word is enough to make you daydream of la dolce vita. #sponsored by @martinirossius htt…",FALSE,0,NA,2021-03-10 06:06:40,FALSE,NA,"1369530124110950401",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MHindushrinker",11,TRUE,FALSE,NA,NA
