"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1",".@Roma__Go @Turismoromaweb @Italia @discoveroma Street Performers in #Rome, #Italy.

#Streets #streetphoto… https://t.co/upVdb3H91s",FALSE,0,NA,2021-03-10 08:30:29,TRUE,NA,"1369566315577491465",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","GiaHomemade",0,FALSE,FALSE,NA,NA
"2","London variant problem in Italy and many holiday destinations have little vaccinesoon to protect holidaymakers.",FALSE,0,"colinwarburton7",2021-03-10 08:29:15,FALSE,"1369563610591227905","1369566006729965569","1319247452134952961","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","colinwarburton7",0,FALSE,FALSE,NA,NA
"3","Looking for a fixed based cycling holiday in Italy? Our Marche cycle resort is in the perfect location… https://t.co/wsrKQfCnVE",FALSE,0,NA,2021-03-10 07:00:07,TRUE,NA,"1369543571662139393",NA,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","hookedoncycling",0,FALSE,FALSE,NA,NA
"4","Booked a holiday for June 2022! #Rome #Sorrento #Almafi #Positano #Ravello #Capri #Napoli #Procida are on the itine… https://t.co/SRHFq8VahR",FALSE,1,NA,2021-03-10 06:27:35,TRUE,NA,"1369535386955972608",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ChrisDavidStone",0,FALSE,FALSE,NA,NA
"5","@NatiAFC me and my brother went on holiday to italy, we watched the game from under the pitch and later, we decided… https://t.co/ZXWeL50wAk",FALSE,1,"NatiAFC",2021-03-10 01:30:50,TRUE,"1369409400436297734","1369460706748272640","1237742620878802945","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lethal_linesh",0,FALSE,FALSE,NA,NA
"6","@cfcjoe9 me and my brother went on holiday to italy, we watched the second leg from under the pitch and later, we d… https://t.co/WH0WWKCuAG",FALSE,0,"cfcjoe9",2021-03-10 01:29:49,TRUE,"1369433068059103236","1369460451638206470","1212816467881627648","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lethal_linesh",0,FALSE,FALSE,NA,NA
"7","@henryscousin Italy (specifically Positano) was Meg’s favourite holiday destination and Tiganello (The Tig) her favourite wine 😅",FALSE,2,"henryscousin",2021-03-09 23:48:00,FALSE,"1369434331597447169","1369434828047781897","2998208871","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Bongz_Mazbk",0,FALSE,FALSE,NA,NA
"8","canyon moon sounds like a holiday. everytime i listen to it i stg i’m in italy. i’ve never been to italy but that s… https://t.co/mQh2HJpHfh",FALSE,1,NA,2021-03-09 23:31:26,TRUE,NA,"1369430660704854016",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","unfuckwitavery",0,FALSE,FALSE,NA,NA
"9","Ragusa from above ❤️

#photooftheday #beautiful
#amazing #beauty #view #photography
#travel #travelling #holiday… https://t.co/IMSgMRiyF6",FALSE,3,NA,2021-03-09 22:45:55,TRUE,NA,"1369419203837591555",NA,"<a href=""https://www.later.com"" rel=""nofollow"">LaterMedia</a>","Learn_Sicilian",1,FALSE,FALSE,NA,NA
"10","@PoliticsForAlI @DailyMailUK Screw that. Let's donate to some sunny holiday destinations in return for exclusive us… https://t.co/z3LKe3E5l8",FALSE,3,"PoliticsForAlI",2021-03-09 21:59:12,TRUE,"1369328308635197445","1369407449082511372","1166419406685188101","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","WonPeople",0,FALSE,FALSE,NA,NA
