"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Job opportunity! 🤩🏓👀
Visit https://t.co/p48rltbr6C and contact  ASD Il Circolo Etneo, a club from #Italy 🇮🇹, curren… https://t.co/jHMeR6x0fH",FALSE,0,NA,2021-03-10 08:14:46,TRUE,NA,"1369562358016802817",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TTTransfers",0,FALSE,FALSE,NA,NA
"2","i want to visit mexico and italy some day. they have 3 ""Cs"" that i enjoy: culture, church, and cuisine.",FALSE,1,NA,2021-03-10 08:07:27,FALSE,NA,"1369560517161979905",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","giidoraaa",0,FALSE,FALSE,NA,NA
"3","📰  Cymru select Gareth Davies and Cory Hill to face Italy. 

🏴󠁧󠁢󠁷󠁬󠁳󠁿 For more Welsh news visit:… https://t.co/RovFaUxsNY",FALSE,0,NA,2021-03-10 08:00:00,TRUE,NA,"1369558642509418496",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","GwaliaMedia",0,FALSE,FALSE,NA,NA
"4","putting this into the universe I’ll visit Italy before I’m 25 💛",FALSE,0,NA,2021-03-10 07:24:48,FALSE,NA,"1369549787314462720",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gtz__maria",0,FALSE,FALSE,NA,NA
"5","[AD] The best places to visit in Tuscany with kids - and where to stay #tuscany #italywithkids… https://t.co/riDfkXcm3N",FALSE,0,NA,2021-03-10 07:14:16,TRUE,NA,"1369547134773628929",NA,"<a href=""https://missinglettr.com"" rel=""nofollow"">Missinglettr</a>","Mummytravels",0,FALSE,FALSE,NA,NA
"6","RT @SWTigray: 24 HRS GLOBAL TWITTER CAMPAIGN TO CALL FOR #GERMANY &amp;  #ITALY TO #DefundTigrayGenocide.
STARTS TONIGHT AT 12AM EST. 
@Tigrayu…",FALSE,0,NA,2021-03-10 07:11:49,FALSE,NA,"1369546518189940737",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LGerezgher",110,TRUE,FALSE,NA,NA
"7","@LutGielen1 @nettyroyal If she handed in her passport how was she able to fly to NY for baby shower, visit her moth… https://t.co/qlCQYfjcRz",FALSE,0,"LutGielen1",2021-03-10 07:05:40,TRUE,"1369400591349342225","1369544969158094850","403685010","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CarolCochrane17",0,FALSE,FALSE,NA,NA
"8","RT @DepttTourism: Ambassador of Italy H.E. Andreas Ferrarese Visited Lahore along with his team. Advisor to Chief Minister Punjab for Touri…",FALSE,0,NA,2021-03-10 06:48:46,FALSE,NA,"1369540717526257665",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","asif_mehmoodpti",3,TRUE,FALSE,NA,NA
"9","@KhaOmm My sis lives in italy, hope to visit it someday.",FALSE,1,"KhaOmm",2021-03-10 06:34:41,FALSE,"1369536154203271169","1369537175126151168","1414913768","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","art1ista",0,FALSE,FALSE,NA,NA
"10","RT @ITSforItaly: ITS Italy, don't just visit, BELONG!
Register your interest and start your journey to own a property in one of the many am…",FALSE,0,NA,2021-03-10 05:13:00,FALSE,NA,"1369516618322243584",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","DiabolMark",10,TRUE,FALSE,NA,NA
