"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","#FlyAI : Air India will operate additional flights between India and Italy from 31st March to 27th May, 21.

Delhi-… https://t.co/5dex0OF9bd",FALSE,0,NA,2021-03-10 08:33:53,TRUE,NA,"1369567169785163776",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","airindiain",0,FALSE,FALSE,NA,NA
"2",".@Roma__Go @Turismoromaweb @Italia @discoveroma Street Performers in #Rome, #Italy.

#Streets #streetphoto… https://t.co/upVdb3H91s",FALSE,0,NA,2021-03-10 08:30:29,TRUE,NA,"1369566315577491465",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","GiaHomemade",0,FALSE,FALSE,NA,NA
"3","RT @bigtickHK: Two Thumbs Out by Peggy Boyd US: https://t.co/BbX7hnPuZC UK: https://t.co/oHgQQJPhUI AUS: https://t.co/LxzAZhS7tD My mother'…",FALSE,0,NA,2021-03-10 08:22:23,FALSE,NA,"1369564277460307968",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ostraca_EU",2099,TRUE,FALSE,NA,NA
"4","RT @ItalyinUK: Looking for the latest information on #travel between the #UK 🇬🇧 and #Italy 🇮🇹? See the dedicated section on our website for…",FALSE,0,NA,2021-03-10 08:22:09,FALSE,NA,"1369564217028788225",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ItalianChamNW",6,TRUE,FALSE,NA,NA
"5","Initially, Italy was one of the worst-hit countries due to COVID-19. Life in Italy came to a standstill as all spor… https://t.co/o0Ipg52tpJ",FALSE,0,NA,2021-03-10 08:20:46,TRUE,NA,"1369563868117209093",NA,"<a href=""https://www.blog2social.com"" rel=""nofollow"">Blog2Social APP</a>","RescueBet",0,FALSE,FALSE,NA,NA
"6","Ancient Greek sculptors found models w perfect profiles &amp; bodies here: https://t.co/FhkznF9LzT",FALSE,0,NA,2021-03-10 08:11:09,FALSE,NA,"1369561450088431616",NA,"<a href=""https://twetler.com"" rel=""nofollow"">Twetler Manager</a>","ItalyTravel",0,FALSE,FALSE,NA,NA
"7","RT @AllThingTravel: 🧭 Verona Visits You! 🇮🇹 

With its Roman ruins, renaissance palaces, medieval buildings, piazzas, #Verona is one of the…",FALSE,0,NA,2021-03-10 08:10:15,FALSE,NA,"1369561224539635714",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","darrisbryant23",84,TRUE,FALSE,NA,NA
"8","SUMMER: Cape Town, South Africa to Rome, Italy for only $487 USD roundtrip  https://t.co/nApNxFiTj3 #travel #Flight… https://t.co/mb9NPzwvUG",FALSE,0,NA,2021-03-10 08:09:49,TRUE,NA,"1369561115152244741",NA,"<a href=""https://flyhoop.com"" rel=""nofollow"">flyhoop</a>","FlyhoopTravels",0,FALSE,FALSE,NA,NA
"9","RT @luxurytravel: 6 reasons to enjoy Italy in the Autumn - A Luxury Travel Blog https://t.co/TdRQ8EGCG9 #luxurytravel https://t.co/ngu0Hp8t…",FALSE,0,NA,2021-03-10 08:08:23,FALSE,NA,"1369560751539707904",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_eloisaok_",7,TRUE,FALSE,NA,NA
"10","Lago di Como is located just 50 kilometres away from Milan and it is very easy to reach by train and by car.

Read… https://t.co/xj0pskfmby",FALSE,0,NA,2021-03-10 08:07:16,TRUE,NA,"1369560472475889665",NA,"<a href=""https://missinglettr.com"" rel=""nofollow"">Missinglettr</a>","Worldwidettips",0,FALSE,FALSE,NA,NA
"11","Beautiful Lake in the Heart of the Dolomites, Italy [OC][1080x1350] IG @holysh0t
💰🌎 Submit your best CRAZY travel b… https://t.co/W27o1H2xD9",FALSE,0,NA,2021-03-10 08:06:53,TRUE,NA,"1369560376107540481",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","madtravelstory",0,FALSE,FALSE,NA,NA
"12","Italy to operate high-speed ‘Covid-free’ trains from Rome to Milan https://t.co/E6kf2R8btv #Photo #Travel #Vacation… https://t.co/gq44g1yM5Z",FALSE,0,NA,2021-03-10 08:01:22,TRUE,NA,"1369558985876123650",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","TheTravelGuide_",0,FALSE,FALSE,NA,NA
"13","RT @luxurytravel: 6 reasons to enjoy Italy in the Autumn - A Luxury Travel Blog https://t.co/TdRQ8EGCG9 #luxurytravel https://t.co/ngu0Hp8t…",FALSE,0,NA,2021-03-10 07:52:18,FALSE,NA,"1369556704648699905",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Geoff84808373",7,TRUE,FALSE,NA,NA
"14","Italy virtual tours: Armchair travel ideas https://t.co/WSMvSxczHp via @brightnomad",FALSE,0,NA,2021-03-10 07:51:00,FALSE,NA,"1369556376750415872",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Ecokats",0,FALSE,FALSE,NA,NA
"15","RT @UpdatesAmritsar: Level of Amritsar-Italy traffic, Today 2 flights by @IndiGo6E &amp; @flyspicejet Parallel flying from Amritsar to Milan at…",FALSE,0,NA,2021-03-10 07:48:38,FALSE,NA,"1369555783180976128",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","tejgr8",5,TRUE,FALSE,NA,NA
"16","RT @anil1anil1: Val di Funes, Italy 🇮🇹 Enjoy life, travel more

Websites to book &gt; Flight https://t.co/TXtx9hdau4
Hotel https://t.co/3pVrpJ…",FALSE,0,NA,2021-03-10 07:48:18,FALSE,NA,"1369555698435190785",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","roni56272266",4,TRUE,FALSE,NA,NA
"17","@bertiebenbow @bobbyjones007 @campbellclaret @MattHancock What about letting 10s of 1000s of football fans travel f… https://t.co/t5MyY6XXPE",FALSE,1,"bertiebenbow",2021-03-10 07:47:30,TRUE,"1369553180741300224","1369555498551369731","69053775","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","tomdesborough87",0,FALSE,FALSE,NA,NA
"18","RT @MikeDoylePhotos: River at the bottom of the gorge - Cavagrande Del Cassibile, Sicily.
#Sicily #Sicilia #Italy #Italia #landscape #lands…",FALSE,0,NA,2021-03-10 07:38:07,FALSE,NA,"1369553137355415554",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gabrielanthonyp",61,TRUE,FALSE,NA,NA
"19","RT @MikeDoylePhotos: Into the mountains north of Lucca, Tuscany.
#Toscana #Tuscany #Italia #Italy #landscape #landscapephotography #travel…",FALSE,0,NA,2021-03-10 07:37:35,FALSE,NA,"1369553000956628992",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gabrielanthonyp",64,TRUE,FALSE,NA,NA
"20","RT @MikeDoylePhotos: Looking out from Sillico, northern Tuscany.
#Toscana #Tuscany #Italia #Italy #landscape #landscapephotography #travel…",FALSE,0,NA,2021-03-10 07:37:31,FALSE,NA,"1369552983957135363",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gabrielanthonyp",41,TRUE,FALSE,NA,NA
"21","Latest updates for foreign travel as resorts prepare to lift restrictions https://t.co/fLEdXKtlJ1",FALSE,0,NA,2021-03-10 07:30:30,FALSE,NA,"1369551219908358144",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Guinevere55",0,FALSE,FALSE,NA,NA
"22","Italy virtual tours: Armchair travel ideas https://t.co/CXzOceY62b via @brightnomad",FALSE,0,NA,2021-03-10 07:30:00,FALSE,NA,"1369551092737073152",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","SpanishNomad1",0,FALSE,FALSE,NA,NA
"23","Lf travel buddy punta kaming italy yung sa may bgc",FALSE,2,NA,2021-03-10 07:27:27,FALSE,NA,"1369550451775918081",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","izzzughh",0,FALSE,FALSE,NA,NA
"24","RT @bwdbradleywdick: #VirtualTrip #BestOfItaly by #InsightVacations Day06 #Venice sightseeing &amp; #Burano excursion 

https://t.co/gJxHxfWmMV…",FALSE,0,NA,2021-03-10 07:03:38,FALSE,NA,"1369544459017453568",NA,"<a href=""https://twitter.com/L_Moretti_Foto"" rel=""nofollow"">Lorezobot</a>","L_Moretti_Foto",1,TRUE,FALSE,NA,NA
"25","RT @ImagesByJonEvan: Art for the Walls! at @lagodibraies  https://t.co/bblwEmSsMD #alps #Italia #italy #nature #NaturePhotography #NatureNo…",FALSE,0,NA,2021-03-10 07:00:06,FALSE,NA,"1369543571477393408",NA,"<a href=""http://www.powerapps.com"" rel=""nofollow"">Microsoft Power Platform</a>","ArseRustica",1,TRUE,FALSE,NA,NA
"26","Art for the Walls! at @lagodibraies  https://t.co/bblwEmSsMD #alps #Italia #italy #nature #NaturePhotography… https://t.co/tne1rHSIqZ",FALSE,1,NA,2021-03-10 07:00:03,TRUE,NA,"1369543557057503234",NA,"<a href=""https://hiplayapp.com"" rel=""nofollow"">Hiplay</a>","ImagesByJonEvan",1,FALSE,FALSE,NA,NA
"27","#VirtualTrip #BestOfItaly by #InsightVacations Day06 #Venice sightseeing &amp; #Burano excursion… https://t.co/iMLkR3dElB",FALSE,1,NA,2021-03-10 07:00:00,TRUE,NA,"1369543543899877376",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","bwdbradleywdick",1,FALSE,FALSE,NA,NA
"28","SUMMER: #CapeTown, South Africa to Rome, Italy for only $487 USD roundtrip with @KLM #Travel (May-Sep dates)… https://t.co/4pUZ6IHc17",FALSE,3,NA,2021-03-10 07:00:00,TRUE,NA,"1369543543862140929",NA,"<a href=""https://ads-api.twitter.com"" rel=""nofollow"">Twitter for Advertisers (legacy)</a>","SecretFlying",0,FALSE,FALSE,NA,NA
"29","RT @BeautyfromItaly: Firenze via IG travel_theway

⁣https://t.co/ZAJKjnI8al
⁣
#travel #florence #firenze #italy #italianholidays https://t.…",FALSE,0,NA,2021-03-10 06:45:46,FALSE,NA,"1369539960802586626",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","szilviade_",2,TRUE,FALSE,NA,NA
"30","RT @BeautyfromItaly: Firenze via IG travel_theway

⁣https://t.co/ZAJKjnI8al
⁣
#travel #florence #firenze #italy #italianholidays https://t.…",FALSE,0,NA,2021-03-10 06:44:11,FALSE,NA,"1369539564910436355",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","the_buzzard1",2,TRUE,FALSE,NA,NA
"31","Firenze via IG travel_theway

⁣https://t.co/ZAJKjnI8al
⁣
#travel #florence #firenze #italy #italianholidays https://t.co/Nxf0mtNyxC",FALSE,13,NA,2021-03-10 06:41:00,FALSE,NA,"1369538761479122948",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","BeautyfromItaly",2,FALSE,FALSE,NA,NA
"32","RT @zuzka_adventure: Magical Venezia :)

Have you ever been to Venezia?

What do you like?
#veneziarialto #travel #travelphotography #natur…",FALSE,0,NA,2021-03-10 06:33:45,FALSE,NA,"1369536939318259712",NA,"<a href=""https://twitter.com/L_Moretti_Foto"" rel=""nofollow"">Lorezobot</a>","L_Moretti_Foto",1,TRUE,FALSE,NA,NA
"33","RT @wanderlust_pure: Beautiful sunset in Venice🇮🇹🇮🇹
#Italy #Venice #travel #PhotoOfTheDay
#photo https://t.co/fT0Le0eVox",FALSE,0,NA,2021-03-10 06:32:13,FALSE,NA,"1369536552146116614",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Bigbang08459968",3,TRUE,FALSE,NA,NA
"34","Magical Venezia :)

Have you ever been to Venezia?

What do you like?
#veneziarialto #travel #travelphotography… https://t.co/NvG59vgomM",FALSE,2,NA,2021-03-10 06:31:08,TRUE,NA,"1369536280896278528",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","zuzka_adventure",1,FALSE,FALSE,NA,NA
